City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,languyan,5.2618,120.0807,88.63,64,100,4.83,PH,1714019042
325,trincomalee,8.5711,81.2335,83.34,74,59,6.82,LK,1714019043
326,craig,40.5153,-107.5464,58.62,40,75,0.0,US,1714018922
327,betio village,1.358,172.9211,86.04,80,13,13.62,KI,1714019046
328,kedougou,12.5579,-12.1743,85.8,24,35,7.4,SN,1714019047
329,solnechnyy,50.7214,136.6319,61.03,40,63,11.61,RU,1714019048
330,florence,43.7667,11.25,47.8,92,20,3.44,IT,1714018938
331,mazagao,-0.115,-51.2894,78.85,98,100,2.1,BR,1714019051
332,sanibel,26.449,-82.0223,73.42,74,1,3.0,US,1714019053
333,ambagarh chauki,20.7833,80.7167,97.3,25,10,6.8,IN,1714019054
334,shar'ya,58.3686,45.5144,41.99,84,33,1.99,RU,1714018766
335,rurrenabaque,-14.4413,-67.5278,74.59,99,72,0.96,BO,1714019057
336,kenai,60.5544,-151.2583,46.49,80,100,5.75,US,1714019058
337,gisborne,-38.6533,178.0042,63.79,60,100,11.74,NZ,1714019059
338,cabedelo,-6.9811,-34.8339,77.67,73,2,8.72,BR,1714019061
339,lubny,50.0163,32.9969,50.83,87,50,4.09,UA,1714019064
340,tosontsengel,48.7567,98.2839,31.89,59,92,1.79,MN,1714019065
341,dhenkanal,20.6667,85.6,100.81,23,0,7.94,IN,1714019066
342,kyabe,9.4515,18.9449,82.09,62,99,10.18,TD,1714019068
343,luderitz,-26.6481,15.1594,61.56,66,67,13.24,NA,1714019069
344,ketchikan,55.3422,-131.6461,46.87,71,40,9.22,US,1714019071
345,kangding,30.0513,101.9603,53.46,96,91,0.74,CN,1714019072
346,nova sintra,14.8667,-24.7167,73.4,80,80,13.96,CV,1714019073
347,lindesberg,59.592,15.2304,30.11,99,19,2.37,SE,1714019075
348,cromwell,41.5951,-72.6454,48.04,61,0,13.8,US,1714018807
349,kyzburun pervyy,43.6517,43.395,55.53,49,99,2.66,RU,1714019077
350,tayshet,55.9342,98.0044,36.97,46,51,5.35,RU,1714019079
351,carroll,39.5501,-77.0164,55.72,65,0,5.75,US,1714019080
352,nanao,37.05,136.9667,73.27,60,55,12.77,JP,1714019082
353,somerset east,-32.7217,25.588,54.34,96,49,3.04,ZA,1714019083
354,kushk,33.2957,61.9522,64.49,57,68,4.81,AF,1714019084
